CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Pottstown,Riverfront Park,PA,US,2018-03-24,about 125,125,,125,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.readingeagle.com/news/article/pottstown-march-for-our-lives-promotes-social-change,,,
Reading,City Park,PA,US,2018-03-24,FB: 231,231,,231,,,general protestors,support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1922800051094655/,,,
Scranton,Scranton High School to Courthouse Square,PA,US,2018-03-24,more than a thousand,1000,,1000,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://wnep.com/2018/03/24/students-march-for-our-lives-in-scranton/,,,
State College,Old Main,PA,US,2018-03-24,hundreds,200,,200,,,March for Our Lives ,support gun control,1,protest,0,0,0,0,1,1,"http://www.statecollege.com/news/local-news/this-has-to-end-march-for-our-lives-state-college-rallies-against-gun-violence,1475955/",http://www.centredaily.com/latest-news/article206690504.html,,
Stroudsburg,Main St.,PA,US,2018-03-24,more than 100,100,,100,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.poconorecord.com/news/20180324/march-for-our-lives-area-students-say-enough-is-enough,,,
West Chester,Historic Courthouse,PA,US,2018-03-24,over 500,500,,500,,,Students; Womens March Youth,Enough: National School Walkout,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/411016339340863/,https://www.wcuquad.com/6010122/news/the-march-for-our-lives-west-chester-students-join-the-movement/,,
Williamsport,Market Square,PA,US,2018-03-24,about 175,175,,175,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.sungazette.com/news/top-news/2018/03/we-can-solve-this-marchers-rally-against-violence/,,,
York,2nd East Market Street,PA,US,2018-03-24,hundreds,200,,200,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,http://abc27.com/2018/03/23/march-for-our-lives-is-calling-for-gun-safety-in-schools/,https://www.ydr.com/story/news/local/2018/03/24/york-hosts-march-our-lives-rally/456041002/,,
Providence,Statehouse,RI,US,2018-03-24,estimated 3000,3000,,3000,,,general protestors,Enough: National School Walkout,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/190205921712346/,http://www.providencejournal.com/news/20180324/thousands-jam-state-house-lawn-for-gun-control,http://www.browndailyherald.com/2018/03/25/rallying-gun-control-thousands-gather-march-lives-state-house/,
Aiken,AIKEN COUNTY COURTHOUSE,SC,US,2018-03-24,about 100,100,,100,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,http://www.augustachronicle.com/news/20180324/local-march-for-our-lives-rallies-join-nationwide-call,http://www.wrdw.com/content/news/March-for-Our-Lives-in-Aiken--477843103.html,,
Anderson,courthouse square,SC,US,2018-03-24,FB: 75,75,,75,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1845931265704003/,,,
Beaufort,near Beaufort High School to pavilion at Henry C. Chambers Waterfront Park,SC,US,2018-03-24,more than 350,350,,350,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,http://www.islandpacket.com/news/local/crime/article206595479.html,,,
Bluffton,,SC,US,2018-03-24,na,400,,500,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,http://www.islandpacket.com/news/local/crime/article206595479.html,,,
Charleston,Read more here: http://www.islandpacket.com/news/local/crime/article206595479.html#storylink=cpy,SC,US,2018-03-24,1200 to 1500,1200,,1500,,,general protestors,support gun control,1,protest,0,0,0,0,1,1,https://www.postandcourier.com/news/thousands-attend-march-for-our-lives-rallies-in-charleston-and/article_89a7b3bc-2eb9-11e8-829c-cb7447f515ab.html,,,
Columbia,Statehouse,SC,US,2018-03-24,about 2000,2000,,2000,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,https://twitter.com/nmoreno13/status/977556176136212482,https://www.postandcourier.com/news/thousands-attend-march-for-our-lives-rallies-in-charleston-and/article_89a7b3bc-2eb9-11e8-829c-cb7447f515ab.html,,
Greenville,corner of North Main Street and Beattie Place,SC,US,2018-03-24,several thousand,3000,,3000,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.wbtv.com/story/37792610/march-for-our-lives-2nd-amendment-rights-group-rallies-scheduled-for-saturday-in-greenville,https://www.facebook.com/events/328389007681071/,https://twitter.com/Galley99/status/977618138442366977,
Myrtle Beach,Market Commons,SC,US,2018-03-24,hundreds,200,,200,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.wmbfnews.com/story/37800966/hundreds-gather-at-market-common-for-march-for-our-lives,,,
Rock Hill,Winthrop University,SC,US,2018-03-24,FB: 92,92,,92,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1494068010721076/,,,
