City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
Cortez,Montezeuma-Cortez High School,CO,US,2018-03-14,about 120,120,,120,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://the-journal.com/articles/88590-cortez-students-walk-out-to-protest-violence-promote-kindness,,,,
Denver,George Washington HS,CO,US,2018-03-14,approx 500,500,,500,,,Students,,1,walkout,0,0,0,0,1,1,form,,,,
Denver,State Capitol,CO,US,2018-03-14,hundreds  ,200,,200,,,students from East High School; Denver School of the Arts; other schools ,Enough: National School Walkout,1,protest,0,0,0,0,0,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,https://twitter.com/MelanieAsmar/status/973959964522831872,,,
Denver,McAuliffe International School,CO,US,2018-03-14,na,400,,700,,,Students,,1,walkout,0,0,0,0,0,1,ift.tt/2FHcxlr,form,,heart,
Denver,South High School,CO,US,2018-03-14,nearly 300,300,,300,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,,,,
Durango,Durango School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://durangoherald.com/articles/212892-some-9r-parents-support-student-walkout-to-protest-gun-violence,,,,
Durango,Escalante Middle School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://durangoherald.com/articles/212892-some-9r-parents-support-student-walkout-to-protest-gun-violence,,,,
Fort Morgan,Fort Morgan High School,CO,US,2018-03-14,300,300,,300,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.brushnewstribune.com/brush-news/ci_31748757/morgan-county-students-join-national-gun-violence-protest,,,,
Fort Morgan,Fort Morgan Middle School,CO,US,2018-03-14,200,200,,200,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.brushnewstribune.com/brush-news/ci_31748757/morgan-county-students-join-national-gun-violence-protest,,,,
Golden,Golden High School,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://actionnetwork.org/events/ghs-school-walkout,,,,
Greenwood Village,Cherry Creek HS,CO,US,2018-03-14,,,,,,,,,1,walkout,,,,,1,1,twitter,,,,
Highlands Ranch,Arapahoe High School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,,,,
Highlands Ranch,Mountain Vista High School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,,,,
Highlands Ranch,Thunder Ridge High School,CO,US,2018-03014,150-200,150,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,,,,
Lafeyette,Peak to Peak Charter School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Lafeyette,Centaurus High School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
