store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Dollar General 14621,st_335938,1130,Hwy 54,NA,Garyville,LA,70051,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-90.62366,30.06954,usda,NA,NA,CO,L204512,dollar general 14621,Dollar General
Dollar General 14622,st_322564,116,East Center St,NA,Manchester,CT,6040,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-72.51888,41.77639,usda,NA,NA,CO,L204513,dollar general 14622,Dollar General
Dollar General 14623,st_335787,1811,Highway 267 S,NA,Searcy,AR,72143,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-91.74973,35.22567,usda,NA,NA,CO,L204514,dollar general 14623,Dollar General
Dollar General 14624,st_339072,2671,Highway 20 NE,NA,Conyers,GA,30012,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.0051,33.71446,usda,NA,NA,CO,L204515,dollar general 14624,Dollar General
Dollar General 14625,st_335788,2910,N Arkansas Ave,NA,Russellville,AR,72802,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-93.13823,35.30992,usda,NA,NA,CO,L204516,dollar general 14625,Dollar General
Dollar General 14626,st_339109,105,Jackdaw Ln,NA,Washoe Valley,NV,89704,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-119.77,39.29088,usda,NA,NA,CO,L204517,dollar general 14626,Dollar General
Dollar General 14627,st_321553,511,E Main St,NA,Luray,VA,22835,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-78.45046,38.66543,usda,NA,NA,CO,L204518,dollar general 14627,Dollar General
Dollar General 14628,st_322479,101,Coldwater Creek Rd,NA,Dewy Rose,GA,30634,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-82.89358,34.26408,usda,NA,NA,CO,L204519,dollar general 14628,Dollar General
Dollar General 14629,st_322742,250,College Ave,NA,Elberton,GA,30635,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-82.87524,34.11775,usda,NA,NA,CO,L204520,dollar general 14629,Dollar General
Dollar General 14630,st_356293,1325,Mt Zion Marlboro Rd,NA,Lothian,MD,20711,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-76.69885,38.81177,usda,NA,NA,CO,L204521,dollar general 14630,Dollar General
Dollar General 14632,st_341596,109,Hwy 17/92,NA,Davenport,FL,33897,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.60202,28.16111,usda,NA,NA,CO,L204522,dollar general 14632,Dollar General
