district,Lcluster,ineq Rank,DistrictL,Representative,Party,years_in_house,Median_household_income,Mean_household_income,Per_capita_income,GiniIndex
FL-13,Dense suburban,98,FL13,Rep. David Jolly,R,0,"$44,468 ","$62,146 ","$28,709 ",0.47
SC-04,Sparse suburban,98,SC04,Rep. Trey Gowdy,R,3,"$45,503 ","$62,906 ","$24,783 ",0.47
NM-01,Dense suburban,100,NM01,Rep. Michelle Lujan Grisham,D,1,"$46,645 ","$64,018 ","$26,086 ",0.47
CA-24,Sparse suburban,101,CA24,Rep. Lois Capps,D,16,"$59,277 ","$81,318 ","$29,323 ",0.47
MS-04,Rural-suburban mix,102,MS04,Rep. Steven Palazzo,R,3,"$40,462 ","$55,092 ","$21,237 ",0.47
TX-16,Dense suburban,103,TX16,Rep. Beto Oâ€™Rourke,D,1,"$41,325 ","$57,148 ","$19,333 ",0.469
AL-01,Rural-suburban mix,103,AL01,Rep. Bradley Byrne,R,0,"$42,919 ","$58,101 ","$22,843 ",0.469
NC-01,Rural-suburban mix,105,NC01,Rep. G. Butterfield,D,10,"$33,039 ","$45,712 ","$18,428 ",0.469
TX-17,Rural-suburban mix,105,TX17,Rep. Bill Flores,R,3,"$43,653 ","$59,473 ","$22,530 ",0.469
CA-43,Pure urban,107,CA43,Rep. Maxine Waters,D,23,"$46,897 ","$64,591 ","$22,457 ",0.469
OH-02,Rural-suburban mix,107,OH02,Rep. Brad Wenstrup,R,1,"$49,070 ","$67,514 ","$27,651 ",0.469
OK-01,Sparse suburban,109,OK01,Rep. Jim Bridenstine,R,1,"$48,176 ","$66,434 ","$26,635 ",0.469
PA-12,Pure rural,110,PA12,Rep. Keith Rothfus,R,1,"$53,714 ","$73,900 ","$30,738 ",0.468
TX-08,Rural-suburban mix,110,TX08,Rep. Kevin Brady,R,17,"$59,925 ","$81,065 ","$28,260 ",0.468
GA-11,Sparse suburban,112,GA11,Rep. Phil Gingrey,R,11,"$59,364 ","$83,558 ","$31,598 ",0.468
AZ-07,Urban-suburban mix,112,AZ07,Rep. Ed Pastor,D,23,"$32,419 ","$44,050 ","$14,393 ",0.468
AZ-09,Urban-suburban mix,112,AZ09,Rep. Kyrsten Sinema,D,1,"$48,891 ","$67,189 ","$27,623 ",0.468
TX-19,Rural-suburban mix,115,TX19,Rep. Randy Neugebauer,R,11,"$42,499 ","$58,681 ","$21,682 ",0.468
OH-03,Dense suburban,116,OH03,Rep. Joyce Beatty,D,1,"$39,315 ","$52,767 ","$21,538 ",0.468
IL-01,Urban-suburban mix,117,IL01,Rep. Bobby Rush,D,21,"$47,582 ","$63,125 ","$24,056 ",0.468
FL-16,Sparse suburban,118,FL16,Rep. Vern Buchanan,R,7,"$47,310 ","$66,207 ","$29,225 ",0.467
WA-09,Dense suburban,119,WA09,Rep. Adam Smith,D,17,"$62,028 ","$84,217 ","$32,952 ",0.467
FL-02,Rural-suburban mix,120,FL02,Rep. Steve Southerland,R,3,"$43,252 ","$57,971 ","$22,594 ",0.467
TX-01,Pure rural,121,TX01,Rep. Louie Gohmert,R,9,"$43,129 ","$59,587 ","$22,621 ",0.467
MA-03,Sparse suburban,121,MA03,Rep. Niki Tsongas,D,6,"$66,247 ","$88,161 ","$33,395 ",0.467
TN-09,Dense suburban,123,TN09,Rep. Steve Cohen,D,7,"$37,323 ","$50,600 ","$19,828 ",0.467
AZ-02,Dense suburban,124,AZ02,Rep. Ron Barber,D,2,"$46,546 ","$63,530 ","$27,141 ",0.466
IN-05,Sparse suburban,125,IN05,Rep. Susan Brooks,R,1,"$59,981 ","$82,890 ","$32,741 ",0.466
TN-01,Rural-suburban mix,126,TN01,Rep. David Roe,R,5,"$37,858 ","$51,977 ","$21,757 ",0.465
CO-02,Sparse suburban,127,CO02,Rep. Jared Polis,D,5,"$65,219 ","$88,291 ","$36,057 ",0.465
FL-07,Sparse suburban,127,FL07,Rep. John Mica,R,21,"$53,440 ","$73,494 ","$27,490 ",0.465
NM-02,Rural-suburban mix,129,NM02,Rep. Stevan Pearce,R,3,"$38,687 ","$53,526 ","$19,838 ",0.465
AL-03,Pure rural,130,AL03,Rep. Mike Rogers,R,13,"$39,956 ","$53,634 ","$21,438 ",0.465
WV-01,Pure rural,131,WV01,Rep. David McKinley,R,3,"$39,851 ","$54,012 ","$22,491 ",0.465
AL-05,Rural-suburban mix,131,AL05,Rep. Mo Brooks,R,3,"$49,405 ","$67,297 ","$27,035 ",0.465
TN-02,Rural-suburban mix,133,TN02,Rep. John Duncan,R,25,"$44,091 ","$60,679 ","$25,238 ",0.465
GA-08,Pure rural,134,GA08,Rep. Austin Scott,R,3,"$39,880 ","$53,764 ","$20,222 ",0.464
FL-10,Sparse suburban,135,FL10,Rep. Daniel Webster,R,3,"$48,999 ","$67,099 ","$26,146 ",0.464
AR-03,Rural-suburban mix,136,AR03,Rep. Steve Womack,R,3,"$42,700 ","$59,233 ","$22,887 ",0.464
TX-14,Sparse suburban,137,TX14,Rep. Randy Weber,R,1,"$52,030 ","$70,324 ","$26,230 ",0.463
NC-12,Sparse suburban,138,NC12,OPEN,OPEN,0,"$35,430 ","$47,616 ","$18,768 ",0.463
FL-08,Sparse suburban,139,FL08,Rep. Bill Posey,R,5,"$46,789 ","$64,661 ","$27,174 ",0.463
SC-07,Rural-suburban mix,140,SC07,Rep. Tom Rice,R,1,"$37,613 ","$51,856 ","$20,949 ",0.463
CA-16,Dense suburban,141,CA16,Rep. Jim Costa,D,9,"$37,511 ","$51,592 ","$15,334 ",0.463
NJ-04,Sparse suburban,142,NJ04,Rep. Christopher Smith,R,33,"$73,349 ","$99,351 ","$37,186 ",0.463
OR-03,Urban-suburban mix,143,OR03,Rep. Earl Blumenauer,D,18,"$50,598 ","$67,214 ","$27,635 ",0.462
GA-10,Pure rural,144,GA10,Rep. Paul Broun,R,7,"$46,346 ","$61,454 ","$22,048 ",0.462
FL-12,Sparse suburban,145,FL12,Rep. Gus Bilirakis,R,7,"$48,044 ","$66,439 ","$27,241 ",0.462
PA-13,Pure rural,146,PA13,Rep. Allyson Schwartz,D,9,"$55,749 ","$74,328 ","$28,865 ",0.462
IL-13,Rural-suburban mix,146,IL13,Rep. Rodney Davis,R,1,"$46,113 ","$61,125 ","$24,814 ",0.462
MN-03,Sparse suburban,146,MN03,Rep. Erik Paulsen,R,5,"$76,020 ","$104,028 ","$41,004 ",0.462
TX-10,Rural-suburban mix,149,TX10,Rep. Michael McCaul,R,9,"$60,883 ","$82,653 ","$30,703 ",0.461
NY-26,Urban-suburban mix,150,NY26,Rep. Brian Higgins,D,9,"$42,320 ","$56,826 ","$24,761 ",0.461
NY-18,Rural-suburban mix,151,NY18,Rep. Sean Maloney,D,1,"$75,312 ","$99,609 ","$35,252 ",0.461
FL-03,Pure rural,152,FL03,Rep. Ted Yoho,R,1,"$43,835 ","$58,601 ","$22,353 ",0.46
OH-10,Sparse suburban,153,OH10,Rep. Michael Turner,R,11,"$44,487 ","$59,795 ","$25,032 ",0.46
OH-09,Dense suburban,154,OH09,Rep. Marcy Kaptur,D,31,"$38,973 ","$52,148 ","$22,189 ",0.46
NY-25,Sparse suburban,154,NY25,Rep. Louise Slaughter,D,27,"$50,883 ","$67,585 ","$27,695 ",0.46
NC-10,Rural-suburban mix,156,NC10,Rep. Patrick McHenry,R,9,"$41,945 ","$56,648 ","$22,884 ",0.46
CA-06,Urban-suburban mix,157,CA06,Rep. Doris Matsui,D,9,"$45,944 ","$61,327 ","$23,204 ",0.46
MA-09,Sparse suburban,158,MA09,Rep. William Keating,D,3,"$59,765 ","$78,787 ","$32,279 ",0.46
NJ-07,Sparse suburban,159,NJ07,Rep. Leonard Lance,R,5,"$98,726 ","$133,522 ","$48,556 ",0.459
VA-09,Pure rural,160,VA09,Rep. H. Griffith,R,3,"$37,246 ","$50,648 ","$21,079 ",0.459
AR-01,Pure rural,161,AR01,Rep. Eric Crawford,R,3,"$35,639 ","$48,339 ","$19,241 ",0.459
AL-06,Rural-suburban mix,161,AL06,Rep. Spencer Bachus,R,21,"$56,810 ","$76,440 ","$29,814 ",0.459
AR-02,Rural-suburban mix,163,AR02,Rep. Tim Griffin,R,3,"$46,189 ","$61,855 ","$25,093 ",0.459
AL-04,Pure rural,164,AL04,Rep. Robert Aderholt,R,17,"$37,694 ","$51,299 ","$20,408 ",0.459
WV-02,Pure rural,165,WV02,Rep. Shelley Capito,R,13,"$43,963 ","$59,110 ","$24,526 ",0.459
TX-02,Dense suburban,166,TX02,Rep. Ted Poe,R,9,"$70,450 ","$96,209 ","$35,289 ",0.458
NC-07,Pure rural,166,NC07,Rep. Mike McIntyre,D,17,"$45,112 ","$60,471 ","$24,119 ",0.458
MA-08,Dense suburban,168,MA08,Rep. Stephen Lynch,D,12,"$72,241 ","$94,643 ","$38,171 ",0.458
CA-47,Pure urban,168,CA47,Rep. Alan Lowenthal,D,1,"$57,360 ","$77,152 ","$27,058 ",0.458
WV-03,Pure rural,170,WV03,Rep. Nick Rahall,D,37,"$36,054 ","$48,753 ","$20,220 ",0.458
AR-04,Pure rural,171,AR04,Rep. Tom Cotton,R,1,"$36,163 ","$49,234 ","$19,734 ",0.458
SC-03,Pure rural,171,SC03,Rep. Jeff Duncan,R,3,"$40,013 ","$54,215 ","$21,139 ",0.458
NJ-05,Dense suburban,173,NJ05,Rep. Scott Garrett,R,11,"$89,295 ","$117,906 ","$42,786 ",0.458
CT-01,Sparse suburban,174,CT01,Rep. John Larson,D,15,"$63,049 ","$82,518 ","$33,329 ",0.457
TX-27,Rural-suburban mix,175,TX27,Rep. Blake Farenthold,R,3,"$46,092 ","$61,995 ","$23,184 ",0.457
NV-01,Urban-suburban mix,176,NV01,Rep. Dina Titus,D,1,"$38,269 ","$51,935 ","$20,038 ",0.457
MI-12,Dense suburban,177,MI12,Rep. John Dingell,D,58,"$50,106 ","$66,393 ","$26,739 ",0.457
MS-01,Pure rural,177,MS01,Rep. Alan Nunnelee,R,3,"$39,916 ","$53,215 ","$20,284 ",0.457
MA-01,Sparse suburban,179,MA01,Rep. Richard Neal,D,25,"$50,616 ","$66,392 ","$26,792 ",0.456
CA-52,Urban-suburban mix,179,CA52,Rep. Scott Peters,D,1,"$80,360 ","$104,500 ","$41,536 ",0.456
SC-05,Pure rural,181,SC05,Rep. Mick Mulvaney,R,3,"$42,505 ","$56,722 ","$21,948 ",0.456
NY-11,Pure urban,181,NY11,Rep. Michael Grimm,R,3,"$62,170 ","$80,915 ","$29,679 ",0.456
NV-02,Rural-suburban mix,181,NV02,Rep. Mark Amodei,R,3,"$52,355 ","$69,865 ","$27,443 ",0.456
FL-05,Sparse suburban,181,FL05,Rep. Corrine Brown,D,21,"$33,175 ","$44,670 ","$17,093 ",0.456
CA-14,Urban-suburban mix,181,CA14,Rep. Jackie Speier,D,6,"$81,682 ","$110,891 ","$39,626 ",0.456
TX-30,Dense suburban,186,TX30,Rep. Eddie Johnson,D,21,"$41,413 ","$54,975 ","$19,676 ",0.456
CT-03,Sparse suburban,186,CT03,Rep. Rosa DeLauro,D,23,"$61,625 ","$80,986 ","$32,375 ",0.456
MI-09,Dense suburban,188,MI09,Rep. Sander Levin,D,31,"$49,093 ","$65,862 ","$27,802 ",0.456
MD-06,Sparse suburban,188,MD06,Rep. John Delaney,D,1,"$71,355 ","$96,049 ","$35,628 ",0.456
