CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
NY-12,Pure urban,0.002406905,0.001284785,0.0072284,0.98907991,Carolyn Maloney,D,0.833,0.135,0.769,0.215,0.8,0.19,0.167983242,0.782644327,0.04937243,-31,Solid D,-3,0,1,0,0.009016062,0.010261904,0.010919825,0.014074051,0.034734688,0.920993469
NY-13,Pure urban,3.83E-05,0,0,0.999961703,Adriano Espaillat,D,0.923,0.054,0.946,0.046,0.93,0.06,0.056169969,0.886440743,0.057389288,-43,Solid D,-3,0,1,0,0.010778199,0.01223333,0.012997981,0.016676374,0.040518014,0.906796102
NY-14,Pure urban,0.011737346,0.003734309,0.023934585,0.960593759,Joseph Crowley,D,0.777,0.198,0.807,0.183,0.76,0.23,0.150799392,0.77593468,0.073265928,-29,Solid D,-3,0,1,0,0.005172637,0.005924142,0.00631736,0.008235038,0.021188543,0.95316228
NY-15,Pure urban,1.64E-04,1.18E-05,0.019051671,0.980772079,Jos?Serrano,D,0.938,0.049,0.967,0.03,0.95,0.05,0.035216852,0.952032913,0.012750236,-44,Solid D,-3,0,1,0,0.007245769,0.008280626,0.008849456,0.011495819,0.028842889,0.93528544
NY-16,Pure urban,9.68E-04,0.046986461,0.182072832,0.769972837,Eliot Engel,D,0.751,0.225,0.737,0.255,0.73,0.26,0,0.894618188,0.105381812,-24,Solid D,-3,0,1,0,0.019748645,0.024982277,0.029178546,0.044265271,0.19165973,0.690165531
NY-17,Sparse suburban,0.027446357,0.403643592,0.340131816,0.228778234,Nita Lowey,D,0.586,0.384,0.571,0.418,0.58,0.41,0,0.894886534,0.105113466,-7,Solid D,-3,0,0.9997,0,0.037463856,0.096241161,0.508071114,0.233129274,0.101153521,0.023941074
NY-18,Rural-suburban mix,0.236775786,0.514605362,0.166748389,0.081870462,Sean Maloney,D,0.471,0.49,0.514,0.471,0.52,0.47,0.38115509,0.483492095,0.135352815,1,Solid D,-3,0,0.9878,0,0.104948101,0.456090584,0.303372127,0.070465765,0.045792849,0.019330575
NY-19,Pure rural,0.716382163,0.235260035,0.03440248,0.013955323,John Faso,R,0.44,0.508,0.521,0.459,0.53,0.45,0.441803689,0.409461208,0.148735103,2,Tossup,0,1,0.4831,1,0.78358126,0.111482771,0.038986571,0.027507469,0.023753534,0.014688395
NY-20,Sparse suburban,0.129457717,0.372561278,0.279998142,0.217982863,Paul Tonko,D,0.54,0.405,0.592,0.388,0.58,0.4,0.265405063,0.600199402,0.134395535,-7,Solid D,-3,0,0.9999,0,0.051047443,0.160297631,0.507810697,0.167729805,0.090408538,0.022705886
NY-21,Pure rural,0.730736536,0.130695908,0.121351997,0.017215558,Elise Stefanik,R,0.4,0.539,0.522,0.461,0.52,0.47,0.559771245,0.278662245,0.16156651,4,Likely R,2,1,0.0513,0,0.670825142,0.156780046,0.060606029,0.047647807,0.040199285,0.023941692
NY-22,Rural-suburban mix,0.453761885,0.231161735,0.187938194,0.127138186,Claudia Tenney,R,0.393,0.548,0.488,0.492,0.49,0.49,0.40673031,0.368842247,0.224427443,6,Tossup,0,1,0.6354,1,0.376958006,0.42202669,0.084923262,0.055637397,0.04239995,0.018054694
NY-23,Pure rural,0.645880253,0.172679838,0.144099086,0.037340824,Tom Reed,R,0.397,0.545,0.484,0.496,0.5,0.49,0.489620534,0.381074946,0.12930452,6,Solid R,3,0,0.0295,0,0.771273603,0.1235928,0.039327782,0.029175708,0.02366793,0.012962176
NY-24,Rural-suburban mix,0.304378238,0.294832527,0.259327374,0.141461861,John Katko,R,0.489,0.453,0.57,0.411,0.56,0.42,0.497591977,0.365920262,0.136487761,-3,Lean R,1,1,0.1318,0,0.102633488,0.559237468,0.187243743,0.085842313,0.049194113,0.015848875
NY-25,Sparse suburban,0.046819904,0.363784672,0.322067142,0.267328283,Vacant,Vacant,0.555,0.391,0.588,0.394,0.59,0.4,0.349383576,0.517630305,0.132986119,-8,Solid D,-3,0,0.9993,0,0.043259201,0.107216101,0.387634097,0.281823681,0.149659866,0.030407053
NY-26,Urban-suburban mix,0.012614723,0.147131761,0.40254257,0.437710946,Brian Higgins,D,0.576,0.38,0.639,0.343,0.63,0.35,0.197208664,0.676606196,0.12618514,-11,Solid D,-3,0,1,0,0.011817057,0.019854626,0.033882248,0.114836209,0.797735818,0.021874042
