CD,Cluster,Very low density,Low density,Medium density,High density,
OH-09,Dense suburban,0.033891834,0.155484331,0.449805129,0.360818705,
OH-10,Sparse suburban,0.080560771,0.398678514,0.422169421,0.098591294,
OH-11,Urban-suburban mix,0.008812207,0.116512681,0.418454382,0.45622073,
OH-12,Sparse suburban,0.228496451,0.402108526,0.311153191,0.058241831,
OH-13,Sparse suburban,0.086337008,0.369338547,0.459099934,0.085224511,
OH-14,Sparse suburban,0.217287347,0.464330816,0.277927302,0.040454536,
OH-15,Rural-suburban mix,0.434296638,0.250644233,0.242030251,0.073028878,
OH-16,Sparse suburban,0.130353491,0.503469754,0.336508016,0.029668739,
OK-01,Sparse suburban,0.117008882,0.378093683,0.443568996,0.061328439,
OK-02,Pure rural,0.752290424,0.204468063,0.043241513,0,
OK-03,Pure rural,0.646045057,0.247440168,0.095434101,0.011080674,
OK-04,Rural-suburban mix,0.37669733,0.290139429,0.307866037,0.025297204,
OK-05,Dense suburban,0.140506953,0.229244512,0.5047514,0.125497134,
OR-01,Dense suburban,0.1631077,0.168371621,0.457880793,0.210639886,
OR-02,Rural-suburban mix,0.450337424,0.335399622,0.188271405,0.025991549,
OR-03,Urban-suburban mix,0.061712155,0.097134116,0.261532369,0.57962136,
OR-04,Rural-suburban mix,0.389540477,0.273437283,0.25864393,0.07837831,
OR-05,Dense suburban,0.230077302,0.188217153,0.474251095,0.10745445,
PA-01,Sparse suburban,0.040683127,0.458871128,0.433227522,0.067218223,
PA-02,Pure urban,0.006140196,0.00469436,0.059575371,0.929590073,
PA-03,Pure urban,0.001575601,0.015438526,0.033129499,0.949856375,
PA-04,Sparse suburban,0.015764292,0.465198904,0.353934306,0.165102499,
PA-05,Urban-suburban mix,5.02362E-06,0.184285983,0.292334294,0.5233747,
PA-06,Sparse suburban,0.08523152,0.51995198,0.25214,0.1426765,
PA-07,Sparse suburban,0.088712109,0.368423919,0.341038594,0.201825378,
PA-08,Rural-suburban mix,0.327584596,0.336832435,0.179376221,0.156206748,
PA-09,Pure rural,0.475206285,0.267010218,0.193172755,0.064610743,
PA-10,Sparse suburban,0.118043587,0.447786032,0.31033161,0.123838771,
PA-11,Sparse suburban,0.215132954,0.477855199,0.219452477,0.08755937,
PA-12,Pure rural,0.700932725,0.111225909,0.128831748,0.059009618,
PA-13,Pure rural,0.587768271,0.17528706,0.195255551,0.041689118,
PA-14,Rural-suburban mix,0.308950505,0.445932497,0.187020441,0.058096557,
PA-15,Pure rural,0.707454095,0.15146432,0.131239673,0.009841913,
PA-16,Rural-suburban mix,0.404441819,0.253313353,0.250301144,0.091943684,
PA-17,Sparse suburban,0.056733691,0.458357701,0.343263695,0.141644914,
PA-18,Urban-suburban mix,0.009496733,0.220148063,0.354160579,0.416194625,
RI-01,Urban-suburban mix,0.023136914,0.308334586,0.243435656,0.425092843,
RI-02,Sparse suburban,0.138017382,0.349872712,0.306848677,0.205261229,
SC-01,Sparse suburban,0.142487517,0.560791225,0.279884308,0.01683695,
SC-02,Rural-suburban mix,0.268180572,0.552858999,0.170807244,0.008153185,
SC-03,Pure rural,0.532498713,0.431304102,0.036197185,0,
SC-04,Sparse suburban,0.114331171,0.652144113,0.223198212,0.010326503,
SC-05,Pure rural,0.472599897,0.452153527,0.075246576,0,
SC-06,Pure rural,0.524308545,0.250847958,0.188502844,0.036340653,
SC-07,Rural-suburban mix,0.461295249,0.448676068,0.090028683,0,
SD-AL,Pure rural,0.52743862,0.244179279,0.208931698,0.019450403,
TN-01,Rural-suburban mix,0.41338735,0.508433818,0.078178831,0,
TN-02,Rural-suburban mix,0.231216773,0.501466762,0.248685008,0.018631456,
TN-03,Rural-suburban mix,0.416752287,0.448252783,0.134994929,0,
TN-04,Rural-suburban mix,0.473693516,0.356642753,0.160757813,0.008905918,
TN-05,Sparse suburban,0.125799159,0.350637412,0.442163907,0.081399523,
TN-06,Pure rural,0.536049439,0.431964445,0.031986116,0,
TN-07,Pure rural,0.519872326,0.377338775,0.102788899,0,
TN-08,Rural-suburban mix,0.459185353,0.402387485,0.138427162,0,
TN-09,Dense suburban,0.041139927,0.236308728,0.642656781,0.079894564,
TX-01,Pure rural,0.523052012,0.340597362,0.136350626,0,
TX-02,Dense suburban,0.021372581,0.279909518,0.490899918,0.207817983,
TX-03,Dense suburban,0.02678056,0.22977602,0.59405024,0.14939318,
TX-04,Pure rural,0.598125188,0.344794397,0.057080414,0,
TX-05,Rural-suburban mix,0.331925591,0.285746038,0.269122404,0.113205966,
TX-06,Dense suburban,0.135916244,0.272068919,0.538002918,0.05401192,
TX-07,Urban-suburban mix,0.000717775,0.09569149,0.433006706,0.47058403,
TX-08,Rural-suburban mix,0.288442862,0.530316911,0.181240227,0,
TX-09,Urban-suburban mix,0,0.144938738,0.387478362,0.4675829,
TX-10,Rural-suburban mix,0.294378501,0.276179891,0.31008305,0.119358557,
TX-11,Rural-suburban mix,0.393896821,0.267322402,0.331456906,0.007323871,
TX-12,Sparse suburban,0.147327945,0.309818024,0.434928808,0.107925223,
TX-13,Rural-suburban mix,0.396134867,0.312739229,0.276168168,0.014957737,
TX-14,Sparse suburban,0.207021002,0.339732334,0.413132072,0.040114592,
TX-15,Sparse suburban,0.1713338,0.545815016,0.282851185,0,
TX-16,Dense suburban,0.024687869,0.274728137,0.478476443,0.222107551,
TX-17,Rural-suburban mix,0.315147825,0.286108908,0.314597389,0.084145878,
